Script Name,Category,Ports Related To,One Line Description
targets-sniffer,Detection,Varies (Network),Detects the presence of network sniffers on the target network.
targets-traceroute,Information Gathering,Varies (Network),Performs a traceroute to determine the network path to the target.
targets-xml,Information Gathering,Varies (Network),Retrieves target information in XML format.
teamspeak2-version,Information Gathering,8767 (Teamspeak),Retrieves the version of a TeamSpeak 2 server.
telnet-brute,Brute Force,23 (Telnet),Attempts to brute-force login credentials for a Telnet service.
telnet-encryption,Information Gathering,23 (Telnet),Checks the encryption methods supported by a Telnet service.
telnet-ntlm-info,Information Gathering,23 (Telnet),Retrieves NTLM (Windows) authentication information from a Telnet server.
tftp-enum,Information Gathering,69 (TFTP),Enumerates files on a TFTP (Trivial File Transfer Protocol) server.
tls-alpn,Information Gathering,443 (SSL/TLS),Enumerates ALPN (Application-Layer Protocol Negotiation) protocols supported by the server.
tls-nextprotoneg,Information Gathering,443 (SSL/TLS),Checks for support of Next Protocol Negotiation (NPN) in TLS/SSL connections.
tls-ticketbleed,Vulnerability Scanning,443 (SSL/TLS),Detects the Ticketbleed vulnerability in SSL/TLS servers (CVE-2016-9244).
tn3270-screen,Information Gathering,23 (TN3270),Retrieves the screen content of a TN3270 (IBM terminal) service.
tor-consensus-checker,Information Gathering,Varies (Network),Checks the consensus information of the Tor network.
traceroute-geolocation,Information Gathering,Varies (Network),Performs a traceroute with geolocation information for the route.
tso-brute,Brute Force,Varies (Network),Attempts to brute-force login credentials for TSO (Terminal Services).
tso-enum,Information Gathering,Varies (Network),Enumerates Terminal Services (TSO) on a server.
ubiquiti-discovery,Information Gathering,Varies (Network),Discovers Ubiquiti network devices in the local network.
unittest,Information Gathering,Varies (Network),Runs unit tests on scripts to ensure proper functioning.
unusual-port,Information Gathering,Varies (Network),Detects services running on uncommon ports.
upnp-info,Information Gathering,1900 (UPnP),Retrieves information from UPnP (Universal Plug and Play) devices.
uptime-agent-info,Information Gathering,Varies (Network),Gathers system uptime information from an agent.
url-snarf,Information Gathering,Varies (Network),Captures URLs from network traffic.
ventrilo-info,Information Gathering,3784 (Ventrilo),Retrieves information about a Ventrilo server.
versant-info,Information Gathering,Varies (Network),Retrieves information about Versant (Object-Oriented Database) server.
vmauthd-brute,Brute Force,443 (VMware),Attempts to brute-force login credentials for VMware authentication service.
vmware-version,Information Gathering,443 (VMware),Retrieves the version of VMware vCenter Server.
vnc-brute,Brute Force,5900 (VNC),Attempts to brute-force login credentials for a VNC (Virtual Network Computing) server.
vnc-info,Information Gathering,5900 (VNC),Retrieves information about a VNC server.
vnc-title,Information Gathering,5900 (VNC),Retrieves the title of the VNC server’s session.
voldemort-info,Information Gathering,Varies (Network),Retrieves information about a Voldemort (distributed key-value store) instance.
vtam-enum,Information Gathering,Varies (Network),Enumerates VTAM (Virtual Telecommunications Access Method) instances.
vulners,Vulnerability Scanning,Varies (Network),Retrieves vulnerability information from the Vulners database.
vuze-dht-info,Information Gathering,Varies (Network),Retrieves information from a Vuze DHT (Distributed Hash Table) network.
wdb-version,Information Gathering,80 (Web),Retrieves the version of a Web Database (WDB) service.
weblogic-t3-info,Information Gathering,7001 (Weblogic),Retrieves information from WebLogic T3 protocol.
whois-domain,Information Gathering,Varies (Network),Performs a WHOIS lookup for a domain.
whois-ip,Information Gathering,Varies (Network),Performs a WHOIS lookup for an IP address.
wsdd-discover,Information Gathering,3702 (WS-Discovery),Discovers devices using WS-Discovery protocol.
x11-access,Information Gathering,6000 (X11),Checks if X11 (remote GUI) access is possible.
xdmcp-discover,Information Gathering,177 (XDMCP),Discovers XDMCP (X Display Manager Control Protocol) services on the network.
xmlrpc-methods,Information Gathering,80 (Web),Enumerates XML-RPC methods offered by a web service.
xmpp-brute,Brute Force,5222 (XMPP),Attempts to brute-force login credentials for an XMPP (Jabber) server.
xmpp-info,Information Gathering,5222 (XMPP),Retrieves information about an XMPP (Jabber) server.
